==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : spark-8125
Python 版本  : 3.12.3
PyTorch 版本 : 2.14.0+cu130
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA GB10 (130.66 GB)
CUDA 版本    : 13.0
訓練開始時間 : 2026-09-19 12:10:40
總訓練時間   : 168.65 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2280     93.00        98.74        3.12s
2/50    0.0774     97.76        99.02        4.62s
3/50    0.0549     98.37        99.14        6.36s
4/50    0.0449     98.63        99.22        8.49s
5/50    0.0359     98.94        99.18        10.12s
6/50    0.0331     98.99        99.18        11.71s
7/50    0.0282     99.14        99.39        13.57s
8/50    0.0248     99.23        99.21        15.59s
9/50    0.0216     99.32        99.19        17.21s
10/50    0.0190     99.40        99.17        19.38s
11/50    0.0181     99.44        99.25        20.74s
12/50    0.0157     99.53        99.16        22.09s
13/50    0.0166     99.48        99.37        23.40s
14/50    0.0149     99.54        99.28        24.96s
15/50    0.0137     99.56        99.35        26.61s
16/50    0.0125     99.58        99.32        28.48s
17/50    0.0106     99.64        99.38        31.22s
18/50    0.0116     99.63        99.26        33.62s
19/50    0.0114     99.63        99.40        35.98s
20/50    0.0121     99.62        99.29        37.83s
21/50    0.0093     99.70        99.45        42.03s
22/50    0.0083     99.73        99.44        46.20s
23/50    0.0086     99.73        99.39        50.44s
24/50    0.0092     99.72        99.38        54.67s
25/50    0.0083     99.72        99.27        58.94s
26/50    0.0084     99.74        99.41        63.10s
27/50    0.0081     99.73        99.44        67.27s
28/50    0.0088     99.73        99.41        71.45s
29/50    0.0070     99.76        99.44        75.64s
30/50    0.0070     99.79        99.36        79.84s
31/50    0.0067     99.80        99.36        83.85s
32/50    0.0071     99.80        99.39        87.32s
33/50    0.0074     99.75        99.48        92.46s
34/50    0.0063     99.81        99.41        98.08s
35/50    0.0064     99.80        99.40        103.68s
36/50    0.0066     99.80        99.31        109.32s
37/50    0.0072     99.78        99.33        114.93s
38/50    0.0065     99.82        99.41        120.62s
39/50    0.0059     99.82        99.36        126.33s
40/50    0.0060     99.81        99.40        132.48s
41/50    0.0054     99.83        99.33        137.50s
42/50    0.0057     99.81        99.43        140.49s
43/50    0.0055     99.82        99.37        145.64s
44/50    0.0052     99.83        99.49        149.80s
45/50    0.0052     99.82        99.39        154.60s
46/50    0.0055     99.83        99.43        157.33s
47/50    0.0060     99.81        99.46        160.12s
48/50    0.0063     99.82        99.42        163.09s
49/50    0.0045     99.85        99.24        165.37s
50/50    0.0063     99.81        99.36        168.65s
--------------------------------------------------

訓練完成
